# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.86 1053.184651 329.1063776 136.9090162 136.9090162 1314.498164 1607.31515 0.1283240179 292.8165395 554.555028 1.783516086 -1768.023987
0.865 1061.231134 332.5221738 136.3112679 136.3112679 1317.856329 1611.2755 0.1283710116 293.4187262 555.6176858 1.779357613 -1771.884924
0.87 1069.297382 335.9454554 135.7203376 135.7203376 1321.203168 1615.221653 0.1284169268 294.0180404 556.6764089 1.775259153 -1775.728361
0.875 1077.383327 339.3761652 135.1361008 135.1361008 1324.538743 1619.153705 0.128461791 294.6145189 557.7312324 1.771219514 -1779.554483
0.88 1085.488896 342.8142469 134.5584361 134.5584361 1327.863113 1623.071753 0.1285056308 295.2081979 558.7821909 1.767237531 -1783.363468
0.885 1093.614021 346.2596456 133.9872252 133.9872252 1331.17634 1626.975894 0.128548472 295.7991126 559.8293188 1.763312069 -1787.155495
0.89 1101.758632 349.7123071 133.4223524 133.4223524 1334.478485 1630.866224 0.1285903398 296.3872977 560.8726496 1.759442021 -1790.93074
0.895 1109.92266 353.1721783 132.8637052 132.8637052 1337.76961 1634.742836 0.1286312585 296.9727871 561.9122166 1.755626306 -1794.689375
0.9 1118.106038 356.6392071 132.3111735 132.3111735 1341.049775 1638.605827 0.1286712517 297.5556141 562.9480527 1.75186387 -1798.431571
0.905 1126.308696 360.1133425 131.7646499 131.7646499 1344.319042 1642.455291 0.1287103424 298.1358112 563.9801902 1.748153683 -1802.157497
0.91 1134.530568 363.5945341 131.2240296 131.2240296 1347.577474 1646.291321 0.128748553 298.7134103 565.0086611 1.744494742 -1805.867319
0.915 1142.771587 367.0827326 130.6892102 130.6892102 1350.825132 1650.11401 0.1287859051 299.2884427 566.0334968 1.740886067 -1809.561202
0.92 1151.031686 370.5778897 130.1600919 130.1600919 1354.062077 1653.923452 0.1288224197 299.8609391 567.0547284 1.737326702 -1813.239307
0.925 1159.3108 374.0799577 129.6365769 129.6365769 1357.288373 1657.719738 0.1288581172 300.4309297 568.0723867 1.733815712 -1816.901793
0.93 1167.608862 377.5888899 129.11857 129.11857 1360.504081 1661.502959 0.1288930176 300.9984438 569.0865019 1.730352187 -1820.548818
0.935 1175.925808 381.1046403 128.605978 128.605978 1363.709263 1665.273206 0.1289271401 301.5635105 570.0971039 1.726935237 -1824.180538
0.94 1184.261572 384.6271639 128.09871 128.09871 1366.90398 1669.03057 0.1289605035 302.1261582 571.1042221 1.723563991 -1827.797105
