# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.55 617.8610573 221.1628738 157.679032 157.679032 1287.599433 1525.498057 0.1076043134 237.8980746 481.5412779 2.631588903 -1539.484235
0.555 625.5125813 226.4741267 156.2114553 156.2114553 1296.357785 1535.111186 0.1077884732 238.7528538 482.9628673 2.616096035 -1545.266876
0.56 633.2121648 231.8319745 154.7773454 154.7773454 1305.122211 1544.721677 0.1079657826 239.5989213 484.3767816 2.60098643 -1551.010123
0.565 640.9597925 237.2359866 153.3755433 153.3755433 1313.891749 1554.328813 0.1081365337 240.4365204 485.78311 2.586247806 -1556.714092
0.57 648.7554462 242.6857439 152.0049412 152.0049412 1322.665486 1563.931912 0.1083010046 241.2658851 487.1819409 2.57186824 -1562.378943
0.575 656.5991038 248.1808388 150.66448 150.66448 1331.442556 1573.530335 0.1084594606 242.0872397 488.573361 2.557836169 -1568.004877
0.58 664.4907407 253.7208742 149.3531465 149.3531465 1340.222137 1583.123474 0.1086121546 242.9007996 489.9574558 2.544140394 -1573.592128
0.585 672.4303288 259.3054633 148.0699715 148.0699715 1349.003448 1592.710756 0.1087593274 243.7067717 491.3343094 2.530770069 -1579.140963
0.59 680.4178376 264.9342289 146.8140271 146.8140271 1357.78575 1602.291638 0.1089012089 244.5053545 492.7040048 2.517714704 -1584.651676
0.595 688.4532337 270.6068029 145.5844251 145.5844251 1366.568336 1611.865608 0.1090380179 245.2967392 494.0666237 2.504964155 -1590.124582
0.6 696.5364813 276.322826 144.3803149 144.3803149 1375.350539 1621.432179 0.1091699634 246.081109 495.4222466 2.492508617 -1595.560018
0.605 704.6675424 282.0819473 143.2008814 143.2008814 1384.131723 1630.990892 0.1092972445 246.8586405 496.7709528 2.480338623 -1600.958338
0.61 712.8463764 287.8838237 142.0453434 142.0453434 1392.911281 1640.541312 0.1094200512 247.6295033 498.1128203 2.468445027 -1606.31991
0.615 721.072941 293.7281197 140.912952 140.912952 1401.688639 1650.083025 0.1095385647 248.3938607 499.447926 2.456819002 -1611.645115
0.62 729.3471915 299.6145071 139.802989 139.802989 1410.463249 1659.615643 0.109652958 249.1518698 500.7763459 2.445452031 -1616.934345
0.625 737.6690816 305.5426645 138.7147653 138.7147653 1419.23459 1669.138794 0.1097633961 249.9036818 502.0981546 2.434335895 -1622.187998
0.63 746.0385631 311.5122771 137.6476195 137.6476195 1428.002164 1678.652127 0.1098700364 250.6494425 503.4134256 2.423462667 -1627.406481
0.635 754.455586 317.5230365 136.6009166 136.6009166 1436.7655 1688.155311 0.1099730295 251.3892921 504.7222315 2.4128247 -1632.590206
0.64 762.9200988 323.57464 135.574047 135.574047 1445.524146 1697.648029 0.1100725188 252.1233659 506.0246436 2.40241462 -1637.739586
0.645 771.4320483 329.6667909 134.5664248 134.5664248 1454.277673 1707.129983 0.1101686416 252.8517944 507.3207324 2.392225319 -1642.855041
0.65 779.9913802 335.7991978 133.577487 133.577487 1463.025671 1716.600889 0.1102615288 253.5747032 508.610567 2.382249941 -1647.93699
0.655 788.5980384 341.9715747 132.6066923 132.6066923 1471.767751 1726.060478 0.1103513058 254.2922137 509.894216 2.372481875 -1652.985852
0.66 797.2519657 348.1836405 131.6535202 131.6535202 1480.503539 1735.508494 0.1104380921 255.0044429 511.1717464 2.362914751 -1658.002048
0.665 805.9531036 354.4351191 130.71747 130.71747 1489.232681 1744.944696 0.1105220021 255.711504 512.4432246 2.353542423 -1662.985996
0.67 814.7013926 360.7257387 129.7980598 129.7980598 1497.954837 1754.368853 0.1106031452 256.413506 513.7087159 2.344358969 -1667.938114
0.675 823.4967717 367.0552323 128.8948257 128.8948257 1506.669684 1763.780747 0.1106816261 257.1105545 514.9682847 2.335358677 -1672.858817
0.68 832.3391792 373.4233368 128.0073211 128.0073211 1515.376913 1773.180171 0.1107575448 257.8027513 516.2219942 2.326536041 -1677.748516
0.685 841.2285523 379.8297935 127.1351156 127.1351156 1524.076228 1782.566928 0.1108309971 258.4901951 517.4699071 2.317885752 -1682.607621
0.69 850.1648271 386.2743473 126.2777947 126.2777947 1532.767348 1791.940833 0.1109020746 259.172981 518.7120848 2.309402688 -1687.436538
0.695 859.1479389 392.7567473 125.4349587 125.4349587 1541.450003 1801.301707 0.110970865 259.8512013 519.9485879 2.301081912 -1692.235668
0.7 868.1778222 399.2767458 124.6062223 124.6062223 1550.123936 1810.649383 0.1110374524 260.5249452 521.1794762 2.292918662 -1697.005408
0.705 877.2544105 405.8340989 123.7912139 123.7912139 1558.788902 1819.983701 0.1111019171 261.1942991 522.4048086 2.284908342 -1701.746151
0.71 886.3776367 412.4285659 122.989575 122.989575 1567.444665 1829.304511 0.1111643364 261.8593466 523.6246429 2.277046523 -1706.458285
0.715 895.5474328 419.0599094 122.2009596 122.2009596 1576.091001 1838.611667 0.111224784 262.5201686 524.8390364 2.269328927 -1711.142194
0.72 904.7637304 425.7278952 121.4250337 121.4250337 1584.727696 1847.905036 0.1112833307 263.1768438 526.0480453 2.26175143 -1715.798256
0.725 914.02646 432.4322921 120.6614748 120.6614748 1593.354543 1857.184486 0.1113400444 263.8294482 527.2517251 2.254310051 -1720.426843
0.73 923.3355518 439.1728718 119.9099713 119.9099713 1601.971346 1866.449895 0.1113949901 264.4780556 528.4501305 2.247000946 -1725.028325
0.735 932.6909353 445.9494088 119.1702222 119.1702222 1610.577919 1875.701149 0.1114482303 265.1227376 529.6433153 2.239820407 -1729.603062
0.74 942.0925395 452.7616805 118.4419367 118.4419367 1619.17408 1884.938135 0.1114998248 265.7635636 530.8313327 2.232764854 -1734.151414
0.745 951.5402927 459.6094667 117.7248335 117.7248335 1627.75966 1894.160751 0.1115498311 266.4006009 532.0142348 2.225830827 -1738.67373
0.75 961.0341229 466.49255 117.0186407 117.0186407 1636.334493 1903.368897 0.1115983042 267.0339151 533.1920733 2.219014989 -1743.170358
0.755 970.5739574 473.4107153 116.3230952 116.3230952 1644.898423 1912.56248 0.1116452972 267.6635697 534.364899 2.212314116 -1747.641638
0.76 980.1597233 480.3637501 115.6379426 115.6379426 1653.4513 1921.741412 0.1116908608 268.2896263 535.5327619 2.20572509 -1752.087906
0.765 989.791347 487.3514442 114.9629365 114.9629365 1661.992979 1930.905609 0.111735044 268.9121449 536.6957113 2.199244904 -1756.509492
0.77 999.4687547 494.3735895 114.2978385 114.2978385 1670.523324 1940.054992 0.1117778934 269.5311839 537.8537959 2.192870648 -1760.90672
0.775 1009.191872 501.4299803 113.6424178 113.6424178 1679.042204 1949.189487 0.1118194543 270.1467999 539.0070636 2.186599513 -1765.279909
0.78 1018.960625 508.520413 112.9964508 112.9964508 1687.549492 1958.309023 0.1118597698 270.7590479 540.1555617 2.180428781 -1769.629374
0.785 1028.774937 515.6446861 112.3597207 112.3597207 1696.04507 1967.413533 0.1118988818 271.3679818 541.2993366 2.174355825 -1773.955422
0.79 1038.634735 522.8026002 111.7320178 111.7320178 1704.528822 1976.502956 0.11193683 271.9736535 542.4384344 2.168378107 -1778.258358
0.795 1048.539942 529.9939577 111.1131385 111.1131385 1713.000639 1985.577232 0.1119736531 272.5761139 543.5729002 2.16249317 -1782.538479
0.8 1058.490482 537.2185631 110.5028856 110.5028856 1721.460416 1994.636306 0.1120093881 273.1754125 544.7027787 2.156698638 -1786.796077
0.805 1068.486279 544.4762228 109.9010677 109.9010677 1729.908053 2003.680127 0.1120440705 273.7715973 545.8281138 2.150992214 -1791.031442
0.81 1078.527258 551.766745 109.3074994 109.3074994 1738.343454 2012.708645 0.1120777347 274.3647152 546.9489489 2.145371674 -1795.244856
0.815 1088.61334 559.0899396 108.7220005 108.7220005 1746.766529 2021.721816 0.1121104136 274.9548121 548.0653267 2.139834865 -1799.436597
0.82 1098.74445 566.4456184 108.1443965 108.1443965 1755.17719 2030.719596 0.112142139 275.5419323 549.1772894 2.134379706 -1803.606938
0.825 1108.92051 573.8335949 107.5745177 107.5745177 1763.575354 2039.701946 0.1121729416 276.1261193 550.2848785 2.12900418 -1807.756148
0.83 1119.141444 581.2536843 107.0121995 107.0121995 1771.960942 2048.668829 0.1122028506 276.7074155 551.388135 2.123706335 -1811.884489
0.835 1129.407173 588.7057033 106.4572821 106.4572821 1780.333878 2057.620211 0.1122318946 277.2858621 552.4870992 2.118484281 -1815.992222
0.84 1139.71762 596.1894703 105.9096101 105.9096101 1788.694091 2066.55606 0.1122601008 277.8614994 553.5818111 2.113336186 -1820.0796
0.845 1150.072707 603.7048055 105.3690327 105.3690327 1797.041511 2075.476347 0.1122874956 278.4343667 554.6723099 2.108260278 -1824.146874
0.85 1160.472357 611.2515302 104.8354033 104.8354033 1805.376074 2084.381044 0.1123141044 279.0045024 555.7586344 2.103254837 -1828.19429
0.855 1170.916492 618.8294676 104.3085795 104.3085795 1813.697717 2093.270128 0.1123399516 279.5719438 556.8408227 2.098318199 -1832.222088
0.86 1181.405033 626.4384423 103.7884227 103.7884227 1822.006382 2102.143576 0.1123650609 280.1367277 557.9189126 2.09344875 -1836.230505
0.865 1191.937902 634.0782802 103.2747982 103.2747982 1830.302012 2111.001366 0.1123894551 280.6988896 558.9929412 2.088644925 -1840.219775
0.87 1202.51502 641.7488089 102.7675752 102.7675752 1838.584553 2119.843482 0.112413156 281.2584645 560.0629453 2.083905208 -1844.190127
0.875 1213.13631 649.4498572 102.2666262 102.2666262 1846.853956 2128.669906 0.1124361848 281.8154864 561.128961 2.079228128 -1848.141785
0.88 1223.801693 657.1812553 101.7718272 101.7718272 1855.110172 2137.480623 0.1124585621 282.3699887 562.1910239 2.074612258 -1852.074971
0.885 1234.51109 664.9428349 101.2830577 101.2830577 1863.353156 2146.275622 0.1124803075 282.9220039 563.2491693 2.070056216 -1855.9899
0.89 1245.264423 672.7344289 100.8002003 100.8002003 1871.582865 2155.05489 0.1125014401 283.4715639 564.3034319 2.065558659 -1859.886787
0.895 1256.061613 680.5558717 100.3231407 100.3231407 1879.799259 2163.818419 0.1125219782 284.0186998 565.353846 2.061118285 -1863.765842
0.9 1266.902581 688.4069988 99.85176754 99.85176754 1888.002299 2172.5662 0.1125419397 284.5634421 566.4004454 2.056733829 -1867.627269
0.905 1277.787249 696.2876471 99.38597258 99.38597258 1896.191949 2181.298227 0.1125613416 285.1058205 567.4432634 2.052404065 -1871.471273
0.91 1288.715537 704.1976547 98.92565024 98.92565024 1904.368175 2190.014496 0.1125802006 285.6458642 568.482333 2.048127802 -1875.29805
0.915 1299.687367 712.1368611 98.47069771 98.47069771 1912.530946 2198.715004 0.1125985326 286.1836018 569.5176866 2.043903884 -1879.107798
0.92 1310.702661 720.1051067 98.02101481 98.02101481 1920.680231 2207.399747 0.1126163531 286.7190611 570.5493564 2.039731188 -1882.900708
0.925 1321.761339 728.1022335 97.57650391 97.57650391 1928.816003 2216.068727 0.112633677 287.2522695 571.5773739 2.035608623 -1886.676969
0.93 1332.863322 736.1280844 97.13706983 97.13706983 1936.938235 2224.721942 0.1126505188 287.7832538 572.6017703 2.03153513 -1890.436767
0.935 1344.008532 744.1825037 96.70261981 96.70261981 1945.046903 2233.359396 0.1126668925 288.3120402 573.6225765 2.027509679 -1894.180285
